Gene	Regulation	entrezID
RP11-88E10.4	down	NA
AJUBA	down	84962
CDH24	down	64403
LRRC9	down	341883
UNGP3	down	319122
MOK	down	5891
DKFZP434L187	down	NA
RP11-382B18.1	down	NA
GOLGA8A	down	23015
GOLGA8B	down	440270
MAP1A	down	4130
CTD-2647E9.1	down	NA
RP11-299H22.3	down	NA
LOXL1-AS1	down	100287616
LOXL1	down	4016
WDR93	down	56964
PGPEP1L	down	145814
NPW	down	283869
CASKIN1	down	57524
CTD-3088G3.8	down	NA
CTD-3088G3.4	down	NA
ACSM3	down	6296
AC004381.7	down	NA
SEZ6L2	down	26470
DOC2A	down	8448
GPT2	down	84706
CRNDE	down	643911
IRX5	down	10265
MMP2	down	4313
DOK4	down	55715
TEPP	down	374739
MMP15	down	4324
CES3	down	23491
PLEKHG4	down	25894
SPNS2	down	124976
USP6	down	9098
ALOX12P2	down	245
RP11-530N7.2	down	NA
RP11-530N7.3	down	NA
NLGN2	down	57555
KRT17P1	down	147228
RP11-387H17.4	down	NA
FAM171A2	down	284069
TOM1L1	down	10040
MSI2	down	124540
RP11-226M10.3	down	NA
RP11-118E18.2	down	NA
RP11-118E18.4	down	NA
RN7SL449P	down	106481045
MRC2	down	9902
CTD-3035K23.3	down	NA
RP11-353N14.5	down	NA
TSPAN10	down	83882
CABLES1	down	91768
ZBTB7C	down	201501
PRSS57	down	400668
PALM	down	5064
PLPPR3	down	79948
NRTN	down	4902
FUT6	down	2528
CTXN1	down	404217
OR7D2	down	162998
MAST1	down	22983
PTGER1	down	5731
RP11-678G14.4	down	NA
RP11-420K14.1	down	NA
AC079466.1	down	NA
LTBP4	down	8425
GRIK5	down	2901
CEACAM19	down	56971
HSD17B14	down	51171
IGLON5	down	402665
TNNI3	down	7137
DNAAF3	down	352909
EBF4	down	57593
SPTLC3	down	55304
DUSP15	down	128853
WISP2	down	NA
MATN4	down	8785
RBPJL	down	11317
ZNF663P	down	100130934
ZNF334	down	55713
SALL4	down	57167
PCBP3	down	54039
RP1-101D8.1	down	NA
AL592528.1	down	NA
AJ011931.1	down	NA
PCBP3-OT1	down	NA
FTCD	down	10841
LINC00896	down	150197
RTN4R	down	65078
FAM227A	down	646851
EFCAB6	down	64800
MLC1	down	23209
ADM2	down	79924
AC000036.4	down	NA
GYG2	down	8908
PRRG1	down	5638
SHROOM4	down	57477
EDA2R	down	60401
PHKA1	down	5255
ZDHHC15	down	158866
ZNF711	down	7552
LL0XNC01-221F2.2	down	NA
ZCCHC18	down	644353
COL4A6	down	1288
COL4A5	down	1287
RHOXF1-AS1	down	101928969
